Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.02    0.00 6031720/6031997     mlx::vector_schedule::(anonymous namespace)::check(bool, char const*) [26]
                0.01    0.00 6439956/6838222     mlx::shared_array::Resources::unit_ready(mlx::shared_array::Unit, unsigned int) const [31]
                0.00    0.00 1505514/3051079     mlx::model_io::PhysicalMux::Channel::advance(unsigned long) [29]
                0.01    0.00 1505514/2999895     mlx::shared_array::Resources::enter(unsigned long) [32]
                0.01    0.00 1505514/2999895     mlx::shared_array::Resources::spm_ready() const [33]
                0.00    0.00    2048/2048        mlx::vector_schedule::Simulator::Impl::request(unsigned int) [57]
                0.00    0.00   20714/1556650     mlx::model_io::AddressSpacePort::response() const [41]
                0.00    0.00    2880/233472      mlx::shared_array::Resources::claim_unit(mlx::shared_array::Unit, mlx::shared_array::Lease const&) [42]
                0.00    0.00    2048/547840      mlx::shared_array::Resources::spm(mlx::shared_array::Lease const&, unsigned int, unsigned int) [24]
                0.00    0.00     832/832         mlx::vector_schedule::Simulator::Impl::evaluate(mlx::vector_schedule::(anonymous namespace)::Context&, mlx::vector_schedule::(anonymous namespace)::Instruction const&, unsigned int) [63]
                0.00    0.00    2880/233472      mlx::shared_array::Resources::complete_unit(mlx::shared_array::Unit, mlx::shared_array::Lease const&) [49]
                0.00    0.00      64/96          mlx::shared_array::Resources::admit(mlx::shared_array::Offer const&, unsigned long) [62]
                0.00    0.00    2048/152592      mlx::model_io::AddressSpacePort::submit(mlx::model_io::Request const&) [51]
                0.00    0.00     832/832         mlx::vector_schedule::Simulator::Impl::complete(mlx::vector_schedule::(anonymous namespace)::Pending&, char const*) [64]
                0.00    0.00    2048/152592      mlx::model_io::AddressSpacePort::consume_response() [52]
                0.00    0.00    2304/175488      mlx::shared_array::Resources::claim_spm(mlx::shared_array::Lease const&) [54]
                0.00    0.00     832/82944       mlx::shared_array::Resources::claim_issue(mlx::shared_array::Lease const&) [53]
                0.00    0.00    1008/5583185     mlx::shared_array::Resources::template_ready(mlx::shared_array::Lease const&) const [19]
                0.00    0.00    1024/1624512     mlx::shared_array::Resources::reg(mlx::shared_array::Lease const&, unsigned int) [46]
                0.00    0.00     768/82816       mlx::shared_array::Resources::claim_writeback(mlx::shared_array::Lease const&) [58]
                0.00    0.00      64/413949      mlx::tensor_model::elements(std::vector<long, std::allocator<long> > const&) [40]
                0.00    0.00      64/96          mlx::shared_array::Resources::retire(mlx::shared_array::Lease const&) [69]
                0.00    0.00      64/64          mlx::vector_schedule::Simulator::Impl::front(mlx::vector_schedule::(anonymous namespace)::Context const&) const [73]
                0.00    0.00 5189078/5275240     mlx::shared_array::Resources::issue_ready(unsigned int) const [107]
                0.00    0.00 1524026/4354727     mlx::shared_array::Resources::unit_owned_by(mlx::shared_array::Unit, unsigned long, unsigned int) const [108]
                0.00    0.00 1505514/3051079     mlx::model_io::AddressSpacePort::advance(unsigned long) [110]
                0.00    0.00 1505513/1505513     void std::__introsort_loop<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<mlx::vector_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}> >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<mlx::vector_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}>) [116]
                0.00    0.00 1500380/1500441     mlx::model_events::PairFlow::admission_ready(unsigned long) const [117]
                0.00    0.00   25365/25365       std::pair<std::_Rb_tree_iterator<unsigned int>, bool> std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_M_insert_unique<unsigned int const&>(unsigned int const&) [142]
                0.00    0.00    7061/7061        mlx::vector_schedule::Simulator::Impl::validate(mlx::vector_schedule::(anonymous namespace)::Owner const&) [146]
                0.00    0.00    4096/4096        mlx::vector_schedule::Simulator::Impl::memory_event(char const*, mlx::vector_schedule::(anonymous namespace)::PendingMemory const&, unsigned long) [149]
                0.00    0.00    2275/458987      mlx::model_io::QueuedPhysicalPort::request_ready() const [122]
                0.00    0.00    2275/458987      mlx::model_system::PhysicalMemory::request_ready() const [121]
                0.00    0.00    2275/306395      mlx::model_io::PhysicalMux::Channel::request_ready() const [123]
                0.00    0.00    2275/153803      mlx::model_io::AddressSpacePort::request_ready() const [126]
                0.00    0.00    1286/6214        mlx::vector_schedule::Simulator::Impl::event(char const*, unsigned int, char const*, unsigned int, unsigned int) [147]
                0.00    0.00    1024/37888       mlx::tagged::float_to_half(float) [140]
                0.00    0.00     832/832         mlx::vector_schedule::Simulator::Impl::advance(unsigned int) [155]
                0.00    0.00      64/96          mlx::model_events::PairFlow::admitted(unsigned long, unsigned long) [159]
                0.00    0.00      64/4311        mlx::tensor_model::element_bytes(mlx::tensor_model::DType) [148]
                0.00    0.00      64/96          mlx::model_events::PairFlow::completed(unsigned long, unsigned long, unsigned long) [160]
                0.00    0.00      64/69          void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int const&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&) [163]
-----------------------------------------------
                0.00    0.00      61/1500537     mlx::matrix_schedule::Simulator::Impl::tick() [5]
                0.00    0.00      96/1500537     mlx::shared_array::Resources::admit(mlx::shared_array::Offer const&, unsigned long) [62]
                1.08    0.01 1500380/1500537     mlx::vector_schedule::Simulator::Impl::tick() [3]
[4]     39.9    1.08    0.01 1500537         mlx::shared_array::Resources::offer(unsigned long, unsigned int) const [4]
                0.01    0.00 1500537/1500729     mlx::shared_array::Resources::caller(unsigned long) const [37]
-----------------------------------------------
                0.21    0.14 1494381/1494381     mlx::model_system::execute_ready_graph(Json::Value const&, Json::Value const&, std::filesystem::__cxx11::path const&) [2]
[5]     13.0    0.21    0.14 1494381         mlx::matrix_schedule::Simulator::Impl::tick() [5]
                0.04    0.00 23910096/47998320     mlx::shared_array::Resources::writeback_ready(unsigned int) const [8]
                0.02    0.01  148480/188462      mlx::tensor_model::Tensor::position(unsigned long) const [23]
                0.00    0.02   82112/82112       mlx::matrix_schedule::Simulator::Impl::evaluate(mlx::matrix_schedule::(anonymous namespace)::Context&, mlx::matrix_schedule::(anonymous namespace)::Instruction const&) [25]
                0.00    0.01  230592/233472      mlx::shared_array::Resources::claim_unit(mlx::shared_array::Unit, mlx::shared_array::Lease const&) [42]
                0.00    0.01 1485784/1556650     mlx::model_io::AddressSpacePort::response() const [41]
                0.01    0.00 1494381/1801804     mlx::model_events::PairFlow::revision() const [34]
                0.01    0.00  148480/547840      mlx::shared_array::Resources::spm(mlx::shared_array::Lease const&, unsigned int, unsigned int) [24]
                0.00    0.00 1494381/3051079     mlx::model_io::PhysicalMux::Channel::advance(unsigned long) [29]
                0.00    0.00 1494381/2999895     mlx::shared_array::Resources::enter(unsigned long) [32]
                0.00    0.00 1494381/2999895     mlx::shared_array::Resources::spm_ready() const [33]
                0.00    0.00  230592/233472      mlx::shared_array::Resources::complete_unit(mlx::shared_array::Unit, mlx::shared_array::Lease const&) [49]
                0.00    0.00  148480/152592      mlx::model_io::AddressSpacePort::submit(mlx::model_io::Request const&) [51]
                0.00    0.00   86112/5265089     mlx::shared_array::Resources::instruction(mlx::shared_array::Lease const&, unsigned int) const [7]
                0.00    0.00  148480/152592      mlx::model_io::AddressSpacePort::consume_response() [52]
                0.00    0.00   82112/82944       mlx::shared_array::Resources::claim_issue(mlx::shared_array::Lease const&) [53]
                0.00    0.00  173184/175488      mlx::shared_array::Resources::claim_spm(mlx::shared_array::Lease const&) [54]
                0.00    0.00  398266/6838222     mlx::shared_array::Resources::unit_ready(mlx::shared_array::Unit, unsigned int) const [31]
                0.00    0.00   82048/82816       mlx::shared_array::Resources::claim_writeback(mlx::shared_array::Lease const&) [58]
                0.00    0.00   57856/1624512     mlx::shared_array::Resources::reg(mlx::shared_array::Lease const&, unsigned int) [46]
                0.00    0.00   24640/24640       mlx::matrix_schedule::Simulator::Impl::complete_instruction(mlx::matrix_schedule::(anonymous namespace)::PendingInstruction&, char const*) [61]
                0.00    0.00      61/1500537     mlx::shared_array::Resources::offer(unsigned long, unsigned int) const [4]
                0.00    0.00      32/96          mlx::shared_array::Resources::admit(mlx::shared_array::Offer const&, unsigned long) [62]
                0.00    0.00     576/5583185     mlx::shared_array::Resources::template_ready(mlx::shared_array::Lease const&) const [19]
                0.00    0.00      64/1505580     mlx::shared_array::Resources::live_spm_vectors(unsigned long) const [9]
                0.00    0.00      64/1505578     mlx::shared_array::Resources::live_contexts(unsigned long) const [15]
                0.00    0.00     232/4719679     void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int&&) [21]
                0.00    0.00     154/5549868     mlx::shared_array::Resources::validate_lease(mlx::shared_array::Lease const&) const [16]
                0.00    0.00      32/96          mlx::shared_array::Resources::retire(mlx::shared_array::Lease const&) [69]
                0.00    0.00 4175770/4175770     mlx::matrix_schedule::(anonymous namespace)::check(bool, char const*) [109]
                0.00    0.00 2830701/4354727     mlx::shared_array::Resources::unit_owned_by(mlx::shared_array::Unit, unsigned long, unsigned int) const [108]
                0.00    0.00 1494381/3051079     mlx::model_io::AddressSpacePort::advance(unsigned long) [110]
                0.00    0.00  288320/461440      mlx::matrix_schedule::Simulator::Impl::event(char const*, unsigned int, char const*, unsigned int) [120]
                0.00    0.00  149464/458987      mlx::model_io::QueuedPhysicalPort::request_ready() const [122]
                0.00    0.00  149464/458987      mlx::model_system::PhysicalMemory::request_ready() const [121]
                0.00    0.00  149464/306395      mlx::model_io::PhysicalMux::Channel::request_ready() const [123]
                0.00    0.00  149464/153803      mlx::model_io::AddressSpacePort::request_ready() const [126]
                0.00    0.00  148480/148480      mlx::matrix_schedule::Simulator::Impl::dma_event(char const*, mlx::matrix_schedule::(anonymous namespace)::PendingDMA const&) [138]
                0.00    0.00   86162/5275240     mlx::shared_array::Resources::issue_ready(unsigned int) const [107]
                0.00    0.00   24640/24640       mlx::matrix_schedule::Simulator::Impl::validate(mlx::matrix_schedule::(anonymous namespace)::Owner const&) [143]
                0.00    0.00     134/134         void std::__introsort_loop<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<mlx::matrix_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}> >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<mlx::matrix_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}>) [158]
                0.00    0.00     134/134         void std::__insertion_sort<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__ops::_Iter_comp_iter<mlx::matrix_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}> >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__ops::_Iter_comp_iter<mlx::matrix_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}>) [157]
                0.00    0.00      61/1500441     mlx::model_events::PairFlow::admission_ready(unsigned long) const [117]
                0.00    0.00      32/32          mlx::model_events::CompletionWindow::admit(unsigned long, unsigned long, unsigned long) [166]
                0.00    0.00      32/96          mlx::model_events::PairFlow::admitted(unsigned long, unsigned long) [159]
                0.00    0.00      32/96          mlx::model_events::PairFlow::completed(unsigned long, unsigned long, unsigned long) [160]
-----------------------------------------------
                0.09    0.00 1546378/1546378     mlx::model_system::execute_ready_graph(Json::Value const&, Json::Value const&, std::filesystem::__cxx11::path const&) [2]
[6]      3.3    0.09    0.00 1546378         mlx::shared_array::Resources::begin_cycle(unsigned long) [6]
-----------------------------------------------
                0.00    0.00      64/5265089     mlx::vector_schedule::Simulator::Impl::front(mlx::vector_schedule::(anonymous namespace)::Context const&) const [73]
                0.00    0.00   86112/5265089     mlx::matrix_schedule::Simulator::Impl::tick() [5]
                0.03    0.05 5178913/5265089     mlx::vector_schedule::Simulator::Impl::tick() [3]
[7]      3.0    0.03    0.05 5265089         mlx::shared_array::Resources::instruction(mlx::shared_array::Lease const&, unsigned int) const [7]
                0.02    0.01 5265089/5583185     mlx::shared_array::Resources::template_ready(mlx::shared_array::Lease const&) const [19]
                0.01    0.01 5265089/8245729     mlx::shared_array::Resources::resident(mlx::shared_array::Lease const&, bool) const [20]
-----------------------------------------------
                0.04    0.00 23910096/47998320     mlx::matrix_schedule::Simulator::Impl::tick() [5]
                0.04    0.00 24088224/47998320     mlx::vector_schedule::Simulator::Impl::tick() [3]
[8]      2.9    0.08    0.00 47998320         mlx::shared_array::Resources::writeback_ready(unsigned int) const [8]
-----------------------------------------------
                0.00    0.00       1/1505580     mlx::matrix_schedule::Simulator::Impl::result() const [87]
                0.00    0.00       1/1505580     mlx::vector_schedule::Simulator::Impl::result() const [88]
                0.00    0.00      64/1505580     mlx::matrix_schedule::Simulator::Impl::tick() [5]
                0.08    0.00 1505514/1505580     mlx::vector_schedule::Simulator::Impl::tick() [3]
[9]      2.9    0.08    0.00 1505580         mlx::shared_array::Resources::live_spm_vectors(unsigned long) const [9]
-----------------------------------------------
                0.07    0.00 1505514/1505514     mlx::model_system::execute_ready_graph(Json::Value const&, Json::Value const&, std::filesystem::__cxx11::path const&) [2]
[10]     2.6    0.07    0.00 1505514         mlx::model_events::CompletionWindow::advance(unsigned long) [10]
-----------------------------------------------
                0.06    0.00  307423/307423      mlx::model_events::PairFlow::inputs_ready(unsigned long) const [12]
[11]     2.3    0.06    0.00  307423         mlx::model_events::Mapping::dependencies(unsigned long) const [11]
                0.00    0.00  307423/1801804     mlx::model_events::PairFlow::revision() const [34]
-----------------------------------------------
                0.00    0.06  307423/307423      mlx::vector_schedule::Simulator::Impl::tick() [3]
[12]     2.3    0.00    0.06  307423         mlx::model_events::PairFlow::inputs_ready(unsigned long) const [12]
                0.06    0.00  307423/307423      mlx::model_events::Mapping::dependencies(unsigned long) const [11]
-----------------------------------------------
                0.00    0.00       6/25594576     mlx::vector_schedule::Simulator::Impl::Impl(Json::Value const&, std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, mlx::tensor_model::Tensor, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, mlx::tensor_model::Tensor> > > const&, mlx::tensor_model::Tensor, mlx::vector_schedule::Options, mlx::model_io::MemoryPort*, mlx::shared_array::Resources*, unsigned long, mlx::model_events::BlockFlow*) [80]
                0.00    0.00 1505514/25594576     mlx::model_system::execute_ready_graph(Json::Value const&, Json::Value const&, std::filesystem::__cxx11::path const&) [2]
                0.06    0.00 24089056/25594576     mlx::vector_schedule::Simulator::Impl::tick() [3]
[13]     2.2    0.06    0.00 25594576         mlx::vector_schedule::Simulator::tick() [13]
-----------------------------------------------
                0.00    0.00      96/19378878     mlx::shared_array::Resources::admit(mlx::shared_array::Offer const&, unsigned long) [62]
                0.01    0.00 5549868/19378878     mlx::shared_array::Resources::validate_lease(mlx::shared_array::Lease const&) const [16]
                0.01    0.00 5583185/19378878     mlx::shared_array::Resources::template_ready(mlx::shared_array::Lease const&) const [19]
                0.02    0.00 8245729/19378878     mlx::shared_array::Resources::resident(mlx::shared_array::Lease const&, bool) const [20]
[14]     1.8    0.05    0.00 19378878         mlx::shared_array::Lease::operator==(mlx::shared_array::Lease const&) const [14]
-----------------------------------------------
                0.00    0.00      64/1505578     mlx::matrix_schedule::Simulator::Impl::tick() [5]
                0.05    0.00 1505514/1505578     mlx::vector_schedule::Simulator::Impl::tick() [3]
[15]     1.8    0.05    0.00 1505578         mlx::shared_array::Resources::live_contexts(unsigned long) const [15]
-----------------------------------------------
                0.00    0.00     154/5549868     mlx::matrix_schedule::Simulator::Impl::tick() [5]
                0.03    0.01 5549714/5549868     mlx::vector_schedule::Simulator::Impl::tick() [3]
[16]     1.6    0.03    0.01 5549868         mlx::shared_array::Resources::validate_lease(mlx::shared_array::Lease const&) const [16]
                0.01    0.00 5549868/19378878     mlx::shared_array::Lease::operator==(mlx::shared_array::Lease const&) const [14]
-----------------------------------------------
                0.00    0.00   10320/1556698     mlx::model_io::PhysicalMux::Channel::advance(unsigned long) [29]
                0.03    0.01 1546378/1556698     mlx::model_io::PhysicalMux::advance(unsigned long) [18]
[17]     1.3    0.03    0.01 1556698         mlx::model_system::PhysicalMemory::advance(unsigned long) [17]
                0.01    0.00  305184/457776      mlx::model_system::PhysicalMemory::event(char const*, mlx::model_io::PhysicalRequest const&, unsigned long) [39]
                0.00    0.00 2475278/5762824     mlx::tensor_model::require(bool, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [106]
                0.00    0.00 1556698/1556698     mlx::model_io::QueuedPhysicalPort::advance(unsigned long) [113]
                0.00    0.00 1556698/1556698     mlx::model_io::QueuedPhysicalPort::request_valid() const [114]
                0.00    0.00  152592/152592      mlx::model_storage::Arena::allocation(std::shared_ptr<mlx::tensor_model::Storage> const&) const [134]
                0.00    0.00  152592/152592      mlx::model_io::QueuedPhysicalPort::receive_response(mlx::model_io::Response) [132]
                0.00    0.00  152592/152592      mlx::model_io::QueuedPhysicalPort::presented_request() const [137]
                0.00    0.00  152592/152592      mlx::model_io::QueuedPhysicalPort::accept_request() [130]
-----------------------------------------------
                0.00    0.04 1546378/1546378     mlx::model_system::execute_ready_graph(Json::Value const&, Json::Value const&, std::filesystem::__cxx11::path const&) [2]
[18]     1.3    0.00    0.04 1546378         mlx::model_io::PhysicalMux::advance(unsigned long) [18]
                0.03    0.01 1546378/1556698     mlx::model_system::PhysicalMemory::advance(unsigned long) [17]
                0.00    0.00 1546378/7253258     mlx::model_system::PhysicalMemory::response() const [104]
                0.00    0.00      80/2473538     mlx::model_io::PhysicalMux::checked_response() const [112]
-----------------------------------------------
                0.00    0.00      96/5583185     mlx::shared_array::Resources::retire(mlx::shared_array::Lease const&) [69]
                0.00    0.00     576/5583185     mlx::matrix_schedule::Simulator::Impl::tick() [5]
                0.00    0.00    1008/5583185     mlx::vector_schedule::Simulator::Impl::tick() [3]
                0.00    0.00   82944/5583185     mlx::shared_array::Resources::claim_issue(mlx::shared_array::Lease const&) [53]
                0.00    0.00  233472/5583185     mlx::shared_array::Resources::claim_unit(mlx::shared_array::Unit, mlx::shared_array::Lease const&) [42]
                0.02    0.01 5265089/5583185     mlx::shared_array::Resources::instruction(mlx::shared_array::Lease const&, unsigned int) const [7]
[19]     1.3    0.02    0.01 5583185         mlx::shared_array::Resources::template_ready(mlx::shared_array::Lease const&) const [19]
                0.01    0.00 5583185/19378878     mlx::shared_array::Lease::operator==(mlx::shared_array::Lease const&) const [14]
-----------------------------------------------
                0.00    0.00      96/8245729     mlx::shared_array::Resources::retire(mlx::shared_array::Lease const&) [69]
                0.00    0.00   82816/8245729     mlx::shared_array::Resources::claim_writeback(mlx::shared_array::Lease const&) [58]
                0.00    0.00   82944/8245729     mlx::shared_array::Resources::claim_issue(mlx::shared_array::Lease const&) [53]
                0.00    0.00  175488/8245729     mlx::shared_array::Resources::claim_spm(mlx::shared_array::Lease const&) [54]
                0.00    0.00  233472/8245729     mlx::shared_array::Resources::claim_unit(mlx::shared_array::Unit, mlx::shared_array::Lease const&) [42]
                0.00    0.00  233472/8245729     mlx::shared_array::Resources::complete_unit(mlx::shared_array::Unit, mlx::shared_array::Lease const&) [49]
                0.00    0.00  547840/8245729     mlx::shared_array::Resources::spm(mlx::shared_array::Lease const&, unsigned int, unsigned int) [24]
                0.00    0.00 1624512/8245729     mlx::shared_array::Resources::reg(mlx::shared_array::Lease const&, unsigned int) [46]
                0.01    0.01 5265089/8245729     mlx::shared_array::Resources::instruction(mlx::shared_array::Lease const&, unsigned int) const [7]
[20]     1.1    0.01    0.02 8245729         mlx::shared_array::Resources::resident(mlx::shared_array::Lease const&, bool) const [20]
                0.02    0.00 8245729/19378878     mlx::shared_array::Lease::operator==(mlx::shared_array::Lease const&) const [14]
-----------------------------------------------
                0.00    0.00       5/4719679     mlx::matrix_schedule::Simulator::Impl::Impl(Json::Value const&, mlx::tensor_model::Tensor, mlx::tensor_model::Tensor, mlx::tensor_model::Tensor const*, bool, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, mlx::tensor_model::Tensor, unsigned long, mlx::matrix_schedule::Options, mlx::model_io::MemoryPort*, mlx::shared_array::Resources*, unsigned long, mlx::model_events::BlockFlow*) [82]
                0.00    0.00       5/4719679     mlx::vector_schedule::Simulator::Impl::Impl(Json::Value const&, std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, mlx::tensor_model::Tensor, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, mlx::tensor_model::Tensor> > > const&, mlx::tensor_model::Tensor, mlx::vector_schedule::Options, mlx::model_io::MemoryPort*, mlx::shared_array::Resources*, unsigned long, mlx::model_events::BlockFlow*) [80]
                0.00    0.00     232/4719679     mlx::matrix_schedule::Simulator::Impl::tick() [5]
                0.03    0.00 4719437/4719679     mlx::vector_schedule::Simulator::Impl::tick() [3]
[21]     1.1    0.03    0.00 4719679         void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int&&) [21]
-----------------------------------------------
                                                 <spontaneous>
[22]     1.1    0.03    0.00                 _init [22]
-----------------------------------------------
                0.00    0.00       2/188462      mlx::control_schedule::Simulator::Impl::Impl(Json::Value const&, std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, mlx::tensor_model::Tensor, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, mlx::tensor_model::Tensor> > > const&, mlx::tensor_model::Tensor, mlx::control_schedule::Options, mlx::model_io::MemoryPort*) [76]
                0.00    0.00       8/188462      mlx::tensor_model::Tensor::integer(unsigned long) const [71]
                0.00    0.00       9/188462      mlx::model_storage::Arena::pin(mlx::tensor_model::Tensor const&, bool) const [68]
                0.00    0.00      11/188462      mlx::model_storage::Arena::allocation(mlx::tensor_model::Tensor const&) const [66]
                0.00    0.00    1024/188462      mlx::tensor_model::Tensor::number(unsigned long) const [60]
                0.00    0.00    1032/188462      mlx::model_system::(anonymous namespace)::Runner::readback(mlx::tensor_model::Tensor const&) [59]
                0.00    0.00    1032/188462      mlx::control_schedule::Simulator::Impl::step() [55]
                0.00    0.00    2048/188462      mlx::vector_schedule::Simulator::Impl::request(unsigned int) [57]
                0.00    0.00   34816/188462      mlx::tensor_model::Tensor::set_number(unsigned long, float) [47]
                0.02    0.01  148480/188462      mlx::matrix_schedule::Simulator::Impl::tick() [5]
[23]     1.1    0.02    0.01  188462         mlx::tensor_model::Tensor::position(unsigned long) const [23]
                0.00    0.00  188462/413949      mlx::tensor_model::elements(std::vector<long, std::allocator<long> > const&) [40]
                0.00    0.00  188462/188465      mlx::tensor_model::Tensor::contiguous() const [48]
-----------------------------------------------
                0.00    0.00    1024/547840      mlx::matrix_schedule::Simulator::Impl::complete_instruction(mlx::matrix_schedule::(anonymous namespace)::PendingInstruction&, char const*) [61]
                0.00    0.00    1024/547840      mlx::vector_schedule::Simulator::Impl::request(unsigned int) [57]
                0.00    0.00    1024/547840      mlx::vector_schedule::Simulator::Impl::evaluate(mlx::vector_schedule::(anonymous namespace)::Context&, mlx::vector_schedule::(anonymous namespace)::Instruction const&, unsigned int) [63]
                0.00    0.00    1024/547840      mlx::vector_schedule::Simulator::Impl::complete(mlx::vector_schedule::(anonymous namespace)::Pending&, char const*) [64]
                0.00    0.00    2048/547840      mlx::vector_schedule::Simulator::Impl::tick() [3]
                0.01    0.00  148480/547840      mlx::matrix_schedule::Simulator::Impl::tick() [5]
                0.01    0.00  393216/547840      mlx::matrix_schedule::Simulator::Impl::evaluate(mlx::matrix_schedule::(anonymous namespace)::Context&, mlx::matrix_schedule::(anonymous namespace)::Instruction const&) [25]
[24]     0.8    0.02    0.00  547840         mlx::shared_array::Resources::spm(mlx::shared_array::Lease const&, unsigned int, unsigned int) [24]
                0.00    0.00  547840/8245729     mlx::shared_array::Resources::resident(mlx::shared_array::Lease const&, bool) const [20]
-----------------------------------------------
                0.00    0.02   82112/82112       mlx::matrix_schedule::Simulator::Impl::tick() [5]
[25]     0.8    0.00    0.02   82112         mlx::matrix_schedule::Simulator::Impl::evaluate(mlx::matrix_schedule::(anonymous namespace)::Context&, mlx::matrix_schedule::(anonymous namespace)::Instruction const&) [25]
                0.01    0.00  393216/547840      mlx::shared_array::Resources::spm(mlx::shared_array::Lease const&, unsigned int, unsigned int) [24]
                0.00    0.01 1533120/1624512     mlx::shared_array::Resources::reg(mlx::shared_array::Lease const&, unsigned int) [46]
                0.00    0.00    1024/37888       mlx::tagged::float_to_half(float) [140]
-----------------------------------------------
                0.00    0.00       7/6031997     mlx::vector_schedule::Options::parse(Json::Value const&) [90]
                0.00    0.00      14/6031997     mlx::vector_schedule::Simulator::Impl::Impl(Json::Value const&, std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, mlx::tensor_model::Tensor, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, mlx::tensor_model::Tensor> > > const&, mlx::tensor_model::Tensor, mlx::vector_schedule::Options, mlx::model_io::MemoryPort*, mlx::shared_array::Resources*, unsigned long, mlx::model_events::BlockFlow*) [80]
                0.00    0.00     256/6031997     mlx::vector_schedule::Simulator::Impl::evaluate(mlx::vector_schedule::(anonymous namespace)::Context&, mlx::vector_schedule::(anonymous namespace)::Instruction const&, unsigned int) [63]
                0.02    0.00 6031720/6031997     mlx::vector_schedule::Simulator::Impl::tick() [3]
[26]     0.7    0.02    0.00 6031997         mlx::vector_schedule::(anonymous namespace)::check(bool, char const*) [26]
-----------------------------------------------
                0.02    0.00 2988762/2988762     mlx::model_system::execute_ready_graph(Json::Value const&, Json::Value const&, std::filesystem::__cxx11::path const&) [2]
[27]     0.7    0.02    0.00 2988762         mlx::matrix_schedule::Simulator::done() const [27]
-----------------------------------------------
                0.02    0.00 1505513/1505513     mlx::vector_schedule::Simulator::Impl::tick() [3]
