Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.73     0.00  1505513     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<mlx::vector_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}> >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<mlx::vector_schedule::Simulator::Impl::priority() const::{lambda(unsigned int, unsigned int)#1}>)
  0.00      2.73     0.00  1500441     0.00     0.00  mlx::model_events::PairFlow::admission_ready(unsigned long) const
  0.00      2.73     0.00  1494381     0.00     0.00  mlx::matrix_schedule::Simulator::tick()
  0.00      2.73     0.00   516166     0.00     0.00  mlx::model_io::QueuedPhysicalPort::idle() const
  0.00      2.73     0.00   461440     0.00     0.00  mlx::matrix_schedule::Simulator::Impl::event(char const*, unsigned int, char const*, unsigned int)
  0.00      2.73     0.00   458987     0.00     0.00  mlx::model_system::PhysicalMemory::request_ready() const
  0.00      2.73     0.00   458987     0.00     0.00  mlx::model_io::QueuedPhysicalPort::request_ready() const
  0.00      2.73     0.00   307423     0.00     0.00  mlx::model_events::PairFlow::inputs_ready(unsigned long) const
  0.00      2.73     0.00   306395     0.00     0.00  mlx::model_io::PhysicalMux::Channel::request_ready() const
  0.00      2.73     0.00   233472     0.00     0.00  mlx::shared_array::Resources::claim_unit(mlx::shared_array::Unit, mlx::shared_array::Lease const&)
  0.00      2.73     0.00   233472     0.00     0.00  mlx::shared_array::Resources::complete_unit(mlx::shared_array::Unit, mlx::shared_array::Lease const&)
  0.00      2.73     0.00   188465     0.00     0.00  mlx::tensor_model::Tensor::contiguous() const
  0.00      2.73     0.00   182264     0.00     0.00  mlx::model_system::PhysicalMemory::collect()
  0.00      2.73     0.00   182262     0.00     0.00  mlx::model_io::PhysicalMux::idle() const
  0.00      2.73     0.00   175488     0.00     0.00  mlx::shared_array::Resources::claim_spm(mlx::shared_array::Lease const&)
  0.00      2.73     0.00   153803     0.00     0.00  mlx::model_io::AddressSpacePort::request_ready() const
  0.00      2.73     0.00   152594     0.00     0.00  mlx::model_system::PhysicalMemory::consume_response()
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_system::PhysicalMemory::submit(mlx::model_io::PhysicalRequest const&)
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_io::PhysicalMux::Channel::consume_response()
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_io::PhysicalMux::Channel::submit(mlx::model_io::PhysicalRequest const&)
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_io::AddressSpacePort::consume_response()
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_io::AddressSpacePort::submit(mlx::model_io::Request const&)
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_io::QueuedPhysicalPort::accept_request()
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_io::QueuedPhysicalPort::consume_response()
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_io::QueuedPhysicalPort::receive_response(mlx::model_io::Response)
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_io::QueuedPhysicalPort::submit(mlx::model_io::PhysicalRequest const&)
