kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mlx_attention_proxy.1.sm_70.ptx 777 : 2048 29952 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 770 : 2048 90112 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 748 : 2048 10240 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 747 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 744 : 2097152 10476416 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 743 : 2097152 12586592 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 742 : 2097152 24972864 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 741 : 2097152 23026176 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 740 : 2097152 21363488 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 739 : 2097152 18929824 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 738 : 2097152 21145056 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 737 : 2097152 362913824 352 0 0 65536 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 736 : 2097152 419808832 836832 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 735 : 2097152 21060896 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 734 : 2097152 360976832 448 0 0 65536 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 733 : 2097152 425705152 914112 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 732 : 2097152 21151008 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 731 : 2097152 359062880 544 0 0 65536 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 730 : 2097152 442846208 1067968 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 729 : 2097152 21029376 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 728 : 2097152 380918048 24608 0 0 65536 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 727 : 2097152 730742560 33981664 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 705 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 704 : 2048 22272 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 703 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 702 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 701 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 700 : 2048 17664 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 699 : 2048 24064 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 698 : 2048 28160 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 697 : 2048 26624 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 696 : 2048 25856 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 695 : 2048 23040 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 724 : 2048 14336 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 694 : 2048 45824 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 723 : 2048 18432 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 693 : 2048 21760 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 722 : 2048 18432 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 706 : 2048 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 708 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 768 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 709 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 769 : 2048 228032 32 0 0 64 64 0 0 
mlx_attention_proxy.1.sm_70.ptx 710 : 2048 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 771 : 2048 12384 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 712 : 2048 20992 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 772 : 2048 18848 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 713 : 2048 14336 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 773 : 2048 18464 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 714 : 2048 13056 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 774 : 2048 135040 0 0 0 256 64 0 0 
mlx_attention_proxy.1.sm_70.ptx 715 : 2048 13056 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 716 : 2048 14080 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 717 : 2048 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 719 : 2048 19456 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 720 : 2048 21504 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 721 : 2048 18432 0 0 0 0 0 0 0 
