run_id,hypothesis,max_abs_percentage_error,delta,summary
run_001,H2,0.2486,,initial event model across Fig. 22 and Fig. 23
run_002,H2,0.0710,-0.1776,useful-compute metric plus kernel and mesh mechanism calibration
run_003,H2,0.0710,0.0000,mechanism ablations; fit unchanged
