kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mlx_attention_proxy.1.sm_70.ptx 777 : 512 2560 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 770 : 512 22528 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 748 : 512 2560 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 747 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 744 : 16384 79360 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 743 : 16384 98304 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 742 : 16384 196608 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 741 : 16384 180224 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 740 : 16384 163840 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 739 : 16384 147456 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 738 : 16384 163840 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 737 : 16384 1874240 0 0 0 512 512 0 0 
mlx_attention_proxy.1.sm_70.ptx 736 : 16384 1872128 0 0 0 16384 512 0 0 
mlx_attention_proxy.1.sm_70.ptx 735 : 16384 163840 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 734 : 16384 1901344 0 0 0 512 512 0 0 
mlx_attention_proxy.1.sm_70.ptx 733 : 16384 1899232 0 0 0 16384 512 0 0 
mlx_attention_proxy.1.sm_70.ptx 732 : 16384 163840 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 731 : 16384 1646432 0 0 0 512 512 0 0 
mlx_attention_proxy.1.sm_70.ptx 730 : 16384 1628832 0 0 0 16384 512 0 0 
mlx_attention_proxy.1.sm_70.ptx 729 : 16384 163840 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 728 : 16384 2080640 0 0 0 512 512 0 0 
mlx_attention_proxy.1.sm_70.ptx 727 : 16384 2977024 0 0 0 16384 512 0 0 
mlx_attention_proxy.1.sm_70.ptx 705 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 704 : 512 5120 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 703 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 702 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 701 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 700 : 512 5888 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 699 : 512 6016 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 698 : 512 6272 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 697 : 512 6272 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 696 : 512 7296 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 695 : 512 8064 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 724 : 512 3584 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 694 : 512 3456 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 723 : 512 4608 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 693 : 512 2432 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 722 : 512 4608 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 706 : 512 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 708 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 768 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 709 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 769 : 512 44576 0 0 0 16 16 0 0 
mlx_attention_proxy.1.sm_70.ptx 710 : 512 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 771 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 712 : 512 4608 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 772 : 512 4608 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 713 : 512 3584 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 773 : 512 4608 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 714 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 774 : 512 3808 0 0 0 64 16 0 0 
mlx_attention_proxy.1.sm_70.ptx 715 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 716 : 512 3072 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 717 : 512 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 719 : 512 4608 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 720 : 512 5120 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 721 : 512 4608 0 0 0 0 0 0 0 
