kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mlx_attention_proxy.1.sm_70.ptx 674 : 2048 10368 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 565 : 2097152 10530560 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 558 : 2048 18432 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 554 : 2048 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 530 : 2048 10240 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 529 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 526 : 2097152 10475520 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 525 : 2097152 12582912 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 524 : 2097152 23068576 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 523 : 2097152 20971456 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 522 : 2097152 18874368 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 521 : 2097152 37748864 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 520 : 2097152 452882144 0 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 519 : 2097152 37748768 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 518 : 2097152 460662944 0 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 496 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 623 : 2097152 220270016 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 553 : 2048 12128 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 494 : 2048 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 621 : 2097152 12585920 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 552 : 2048 12192 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 493 : 2048 13312 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 620 : 2097152 12601216 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 551 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 492 : 2048 22528 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 619 : 2097152 23068672 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 550 : 2048 14080 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 491 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 618 : 2097152 21033280 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 549 : 2048 18432 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 490 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 617 : 2097152 12591456 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 489 : 2048 16896 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 616 : 2097152 18886240 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 547 : 2048 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 488 : 2048 24320 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 615 : 2097152 21004352 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 517 : 2097152 37748864 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 546 : 2048 10240 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 487 : 2048 27392 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 614 : 2097152 12587104 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 516 : 2097152 448692000 0 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 486 : 2048 23040 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 613 : 2097152 21057920 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 515 : 2097152 37748864 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 485 : 2048 33536 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 612 : 2097152 18912448 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 514 : 2097152 732622144 33554432 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 556 : 2048 18432 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 497 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 624 : 2097152 21203648 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 484 : 2048 17664 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 611 : 2097152 157008640 0 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 557 : 2048 20448 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 498 : 2048 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 625 : 2097152 18874368 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 559 : 2048 18720 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 500 : 2048 19456 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 627 : 2097152 22943520 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 560 : 2048 18432 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 501 : 2048 17408 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 628 : 2097152 12592864 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 502 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 629 : 2097152 10516544 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 503 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 563 : 2097152 440582336 33554432 0 0 2097152 65536 0 0 
mlx_attention_proxy.1.sm_70.ptx 504 : 2048 12288 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 564 : 2097152 18916384 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 505 : 2048 0 0 0 0 0 0 0 0 
mlx_attention_proxy.1.sm_70.ptx 632 : 2048 12288 0 0 0 0 0 0 0 
