Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.39     47.10     0.32                             VTestHarness::_sequent__TOP__3760(VTestHarness__Syms*)
  0.37     47.41     0.30                             VTestHarness::_sequent__TOP__2243(VTestHarness__Syms*)
  0.37     47.70     0.30                             VTestHarness::_sequent__TOP__2251(VTestHarness__Syms*)
  0.36     47.99     0.29                             VTestHarness::_sequent__TOP__2241(VTestHarness__Syms*)
  0.36     48.28     0.28                             VTestHarness::_sequent__TOP__2789(VTestHarness__Syms*)
  0.35     48.56     0.28                             VTestHarness::_sequent__TOP__2006(VTestHarness__Syms*)
  0.35     48.84     0.28                             VTestHarness::_sequent__TOP__2242(VTestHarness__Syms*)
  0.34     49.11     0.27                             VTestHarness::_sequent__TOP__66(VTestHarness__Syms*)
  0.30     49.35     0.24                             vl_time_stamp64()
  0.29     49.59     0.23                             VTestHarness::_settle__TOP__1264(VTestHarness__Syms*)
  0.29     49.82     0.23                             VTestHarness::_sequent__TOP__2982(VTestHarness__Syms*)
  0.29     50.05     0.23                             VTestHarness::_sequent__TOP__133(VTestHarness__Syms*)
  0.29     50.28     0.23                             VTestHarness::_sequent__TOP__2736(VTestHarness__Syms*)
  0.29     50.51     0.23                             VTestHarness::_sequent__TOP__3041(VTestHarness__Syms*)
  0.29     50.74     0.23                             VTestHarness::_sequent__TOP__3087(VTestHarness__Syms*)
  0.27     50.96     0.22                             VTestHarness::_settle__TOP__986(VTestHarness__Syms*)
  0.26     51.17     0.21                             VTestHarness::_sequent__TOP__2857(VTestHarness__Syms*)
  0.25     51.37     0.20                             VerilatedVpiImp::callValueCbs()
  0.24     51.56     0.19                             VTestHarness::_sequent__TOP__3226(VTestHarness__Syms*)
  0.20     51.72     0.16                             VTestHarness::_sequent__TOP__3253(VTestHarness__Syms*)
  0.19     51.87     0.15                             VTestHarness::_sequent__TOP__2002(VTestHarness__Syms*)
  0.19     52.02     0.15                             VTestHarness::_sequent__TOP__3808(VTestHarness__Syms*)
  0.17     52.16     0.14                             VTestHarness::_sequent__TOP__192(VTestHarness__Syms*)
  0.17     52.30     0.14                             VTestHarness::_sequent__TOP__1988(VTestHarness__Syms*)
  0.16     52.43     0.13                             VTestHarness::_multiclk__TOP__3906(VTestHarness__Syms*)
  0.15     52.55     0.12                             VTestHarness::_sequent__TOP__149(VTestHarness__Syms*)
  0.14     52.66     0.12                             VTestHarness::_sequent__TOP__3637(VTestHarness__Syms*)
  0.14     52.77     0.11                             VTestHarness::_settle__TOP__1221(VTestHarness__Syms*)
  0.13     52.88     0.10                             VTestHarness::_sequent__TOP__3855(VTestHarness__Syms*)
  0.12     52.98     0.10                             mm_magic_t::tick(bool, bool, unsigned long, unsigned long, unsigned long, unsigned long, bool, unsigned long, unsigned long, unsigned long, unsigned long, bool, unsigned long, void*, bool, bool, bool)
  0.12     53.08     0.10                             VTestHarness::_sequent__TOP__2146(VTestHarness__Syms*)
  0.12     53.18     0.10                             mlx::wide_memory::Memory::eval() const
